IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.229.102,2095,2095,false,SIN,Asia Pacific,Singapore,110,2.78
8.222.212.172,2086,2086,false,SIN,Asia Pacific,Singapore,63,2.77
8.222.238.141,8080,8080,false,SIN,Asia Pacific,Singapore,122,2.77
47.236.7.206,2087,2087,true,SIN,Asia Pacific,Singapore,78,2.77
47.236.82.218,2087,2087,true,SIN,Asia Pacific,Singapore,53,2.77
8.219.157.97,80,80,false,SIN,Asia Pacific,Singapore,217,2.76
8.222.160.61,2096,2096,true,SIN,Asia Pacific,Singapore,55,2.76
8.222.167.8,2083,2083,true,SIN,Asia Pacific,Singapore,79,2.76
8.219.228.157,2095,2095,false,SIN,Asia Pacific,Singapore,128,2.76
47.236.7.246,2096,2096,true,SIN,Asia Pacific,Singapore,113,2.76
8.219.248.170,2096,2096,true,SIN,Asia Pacific,Singapore,191,2.76
8.222.238.141,2082,2082,false,SIN,Asia Pacific,Singapore,142,2.75
8.222.129.245,2052,2052,false,SIN,Asia Pacific,Singapore,102,2.75
8.222.167.147,2052,2052,false,SIN,Asia Pacific,Singapore,61,2.75
47.236.116.26,2086,2086,false,SIN,Asia Pacific,Singapore,56,2.75
47.236.130.95,8443,8443,true,SIN,Asia Pacific,Singapore,50,2.75
47.245.84.155,80,80,false,SIN,Asia Pacific,Singapore,81,2.74
47.236.144.48,80,80,false,SIN,Asia Pacific,Singapore,57,2.74
47.236.150.109,2082,2082,false,SIN,Asia Pacific,Singapore,61,2.74
47.236.123.133,2082,2082,false,SIN,Asia Pacific,Singapore,54,2.74
8.222.229.22,2095,2095,false,SIN,Asia Pacific,Singapore,216,2.74
47.236.103.153,2086,2086,false,SIN,Asia Pacific,Singapore,74,2.74
8.222.180.86,8080,8080,false,SIN,Asia Pacific,Singapore,63,2.73
8.222.154.50,8080,8080,false,SIN,Asia Pacific,Singapore,196,2.73
8.222.248.188,2053,2053,true,SIN,Asia Pacific,Singapore,55,2.73
47.236.144.208,2096,2096,true,SIN,Asia Pacific,Singapore,51,2.73
8.222.144.219,2082,2082,false,SIN,Asia Pacific,Singapore,73,2.72
8.219.208.69,2052,2052,false,SIN,Asia Pacific,Singapore,60,2.72
8.222.169.182,8443,8443,true,SIN,Asia Pacific,Singapore,53,2.72
47.236.123.133,2053,2053,true,SIN,Asia Pacific,Singapore,64,2.72
8.222.182.10,8880,8880,false,SIN,Asia Pacific,Singapore,179,2.72
8.222.227.191,2087,2087,true,SIN,Asia Pacific,Singapore,54,2.72
8.222.129.32,80,80,false,SIN,Asia Pacific,Singapore,115,2.72
8.222.174.108,2052,2052,false,SIN,Asia Pacific,Singapore,130,2.72
47.236.87.206,2086,2086,false,SIN,Asia Pacific,Singapore,87,2.71
8.222.169.182,8080,8080,false,SIN,Asia Pacific,Singapore,63,2.71
8.219.222.98,2096,2096,true,SIN,Asia Pacific,Singapore,100,2.71
8.222.169.182,2082,2082,false,SIN,Asia Pacific,Singapore,102,2.71
47.236.121.7,80,80,false,SIN,Asia Pacific,Singapore,63,2.71
8.222.147.203,8080,8080,false,SIN,Asia Pacific,Singapore,68,2.70
8.222.212.172,80,80,false,SIN,Asia Pacific,Singapore,63,2.70
8.219.114.201,2053,2053,true,SIN,Asia Pacific,Singapore,57,2.70
8.219.193.22,8443,8443,true,SIN,Asia Pacific,Singapore,51,2.70
8.222.154.227,2083,2083,true,SIN,Asia Pacific,Singapore,55,2.70
47.236.116.208,2086,2086,false,SIN,Asia Pacific,Singapore,72,2.70
47.245.84.155,2053,2053,true,SIN,Asia Pacific,Singapore,54,2.69
